"","soundscape_path","soundscape_file","soundscape_duration","soundscape_sample_rate","soundscape_bitrate","soundscape_layout","template_path","template_file","template_name","template_label","template_start","template_end","template_sample_rate","template_min_freq","template_max_freq","template_wl","template_ovlp"
"53","./soundscapes//W54448S25622_20191102_070000.wav","W54448S25622_20191102_070000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.400958333333333,24000,2.975,9.554,1024,70
"54","./soundscapes//W54448S25622_20191102_070000.wav","W54448S25622_20191102_070000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.3905,24000,2.878,9.636,1024,70
"55","./soundscapes//W54448S25622_20191103_055000.wav","W54448S25622_20191103_055000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.505375,24000,3.151,9.201,1024,70
"56","./soundscapes//W54448S25622_20191103_055000.wav","W54448S25622_20191103_055000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.496333333333333,24000,3.151,9.232,1024,70
"57","./soundscapes//W54448S25622_20191103_055000.wav","W54448S25622_20191103_055000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.509875,24000,3.057,9.232,1024,70
"58","./soundscapes//W54448S25622_20191103_055000.wav","W54448S25622_20191103_055000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.36425,24000,2.9,9.764,1024,70
"59","./soundscapes//W54448S25622_20191103_055000.wav","W54448S25622_20191103_055000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.400958333333333,24000,2.975,9.554,1024,70
"60","./soundscapes//W54448S25622_20191103_055000.wav","W54448S25622_20191103_055000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.3905,24000,2.878,9.636,1024,70
"61","./soundscapes//W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.505375,24000,3.151,9.201,1024,70
"62","./soundscapes//W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.496333333333333,24000,3.151,9.232,1024,70
"63","./soundscapes//W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.509875,24000,3.057,9.232,1024,70
"64","./soundscapes//W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.36425,24000,2.9,9.764,1024,70
"65","./soundscapes//W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.400958333333333,24000,2.975,9.554,1024,70
"66","./soundscapes//W54448S25622_20191104_171000.wav","W54448S25622_20191104_171000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.3905,24000,2.878,9.636,1024,70
"67","./soundscapes//W54448S25623_20191102_064000.wav","W54448S25623_20191102_064000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_004.236-004.742s_03.151-09.201kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.505375,24000,3.151,9.201,1024,70
"68","./soundscapes//W54448S25623_20191102_064000.wav","W54448S25623_20191102_064000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_015.692-016.188s_03.151-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.496333333333333,24000,3.151,9.232,1024,70
"69","./soundscapes//W54448S25623_20191102_064000.wav","W54448S25623_20191102_064000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_1_027.507-028.017s_03.057-09.232kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.509875,24000,3.057,9.232,1024,70
"70","./soundscapes//W54448S25623_20191102_064000.wav","W54448S25623_20191102_064000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_004.444-004.808s_02.900-09.764kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.36425,24000,2.9,9.764,1024,70
"71","./soundscapes//W54448S25623_20191102_064000.wav","W54448S25623_20191102_064000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.400958333333333,24000,2.975,9.554,1024,70
"72","./soundscapes//W54448S25623_20191102_064000.wav","W54448S25623_20191102_064000.wav",59.9945416666667,24000,16,"mono","./roi_cuts//Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_024.071-024.462s_02.878-09.636kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Basileuterus culicivorus",0,0.3905,24000,2.878,9.636,1024,70
